iter	R2	RMSE
751	0.9735443491	0.1091047841
752	0.9737352152	0.1087104998
753	0.9738176923	0.1085396783
754	0.973867879	0.1084356031
755	0.9739235977	0.1083199386
756	0.9739883024	0.1081854652
757	0.9740416207	0.1080745301
758	0.9741170431	0.10791741
759	0.9741970974	0.10775039
760	0.9743812941	0.1073651075
761	0.9744581069	0.1072040298
762	0.9745059007	0.1071036831
763	0.974641647	0.1068181595
764	0.9748174574	0.1064472282
765	0.9748923026	0.1062889244
766	0.975032868	0.1059909776
767	0.9750841308	0.1058821108
768	0.9751617113	0.1057171396
769	0.9753438637	0.1053287864
770	0.9754049317	0.1051982669
771	0.9754540436	0.1050931836
772	0.9755262825	0.1049384248
773	0.9756959674	0.1045740043
774	0.9757717199	0.1044109054
775	0.9758173501	0.1043125382
776	0.9758763915	0.104185122
777	0.9759234767	0.1040833965
778	0.9759930034	0.103933005
779	0.9761384107	0.1036177726
780	0.976205387	0.1034722497
781	0.9762787514	0.103312612
782	0.9763221789	0.1032179992
783	0.9764841866	0.1028642755
784	0.9765289894	0.1027662392
785	0.9766334725	0.1025372481
786	0.9767040178	0.1023823473
787	0.9768586703	0.102041944
788	0.9769271937	0.1018907547
789	0.9769833887	0.1017665989
790	0.9770840693	0.1015437784
791	0.9771063046	0.1014945025
792	0.9771488133	0.1014002319
793	0.977219844	0.101242513
794	0.9772908114	0.1010846886
795	0.9773450311	0.1009639433
796	0.9773666508	0.1009157567
797	0.9774897094	0.1006410408
798	0.9775307139	0.1005493359
799	0.9775963667	0.1004023312
800	0.9776602853	0.1002590026
801	0.9776928944	0.1001858022
802	0.9777590111	0.1000372203
803	0.9778593282	0.09981135846
804	0.9780078021	0.09947613118
805	0.9780699373	0.0993355053
806	0.9782128452	0.09901131503
807	0.9782733356	0.09887377063
808	0.9783369778	0.09872885289
809	0.9784349922	0.09850525025
810	0.9784863288	0.09838793204
811	0.9786244994	0.09807147703
812	0.9786883306	0.09792493773
813	0.9787813661	0.09771095969
814	0.9789408658	0.09734302217
815	0.9790360006	0.0971228992
816	0.9790669763	0.09705112005
817	0.979115681	0.09693815015
818	0.979155604	0.09684545125
819	0.9792461767	0.09663481641
820	0.9793066639	0.09649389226
821	0.9793479081	0.0963976826
822	0.9793951442	0.09628737748
823	0.9794754097	0.09609965255
824	0.9795310935	0.09596920333
825	0.9795706695	0.09587638175
826	0.97960835	0.09578792219
827	0.9796624008	0.0956608887
828	0.9797081813	0.09555316027
829	0.9797443037	0.09546807326
830	0.9798069574	0.09532031084
831	0.9798655019	0.0951820323
832	0.979973708	0.09492592575
833	0.9801070271	0.09460942755
834	0.9802353399	0.09430381115
835	0.9803588542	0.09400868514
836	0.9804126236	0.09387991848
837	0.9805315334	0.09359452452
838	0.9805838853	0.09346859916
839	0.9806392453	0.09333525324
840	0.9807015153	0.09318503533
841	0.9807585652	0.09304719727
842	0.9807934366	0.0929628439
843	0.9808486892	0.09282903193
844	0.9809026967	0.09269804861
845	0.9809783946	0.09251414792
846	0.9810573144	0.09232202995
847	0.9811098427	0.09219393601
848	0.9811662065	0.09205629055
849	0.9812018776	0.09196907215
850	0.9812364358	0.091884496
851	0.9813513339	0.09160273805
852	0.9814619732	0.09133060234
853	0.9815685272	0.09106774623
854	0.9816158176	0.09095084298
855	0.9816633694	0.09083314194
856	0.9817660351	0.09057850046
857	0.9818119726	0.0904643296
858	0.9818565711	0.09035334856
859	0.9819484811	0.09012420434
860	0.9819921412	0.09001514949
861	0.9820341311	0.08991014178
862	0.9821313538	0.08966653636
863	0.9822307597	0.08941677431
864	0.982273684	0.08930870928
865	0.982369484	0.08906705264
866	0.9824111984	0.0889616224
867	0.9824517049	0.08885912533
868	0.982537717	0.08864108844
869	0.9825659847	0.08856931397
870	0.9825932415	0.08850005099
871	0.9826856778	0.0882647543
872	0.9827250787	0.08816426827
873	0.9827753527	0.08803588564
874	0.982813609	0.08793806647
875	0.9828372369	0.08787759705
876	0.9828744048	0.08778239104
877	0.9829636906	0.0875532615
878	0.9829998271	0.08746035551
879	0.9830488469	0.08733416886
880	0.9830748667	0.08726711492
881	0.9831793652	0.08699729722
